id;TARGA;GENERE MERCEOLOGICO;ANNO_ISTITUZIONE;INDIRIZZO;CIVICO;MUNICIPIO;ID_NIL;NIL;LONG_X_4326;LAT_Y_4326;Location
150;Lord Mayor;Abbigliamento;1958;C.so Europa;22;1;1;DUOMO;9.197721000000058;45.46539000000007;(45.46539000000007, 9.197721000000058)
151;Lorenzo Borghi;Fabbrica artigianale cappelli per signora;1950;Via dei Piatti;5;1;1;DUOMO;9.185287500000072;45.46079100000003;(45.46079100000003, 9.185287500000072)
152;Macelleria Brigo;Macelleria;1892;Via Santa Croce;1;1;6;PORTA TICINESE - CONCA DEL NAVIGLIO;9.183807000000058;45.456192000000044;(45.456192000000044, 9.183807000000058)
153;Macelleria Sirtori;Macelleria;1931;Via Sarpi Paolo;27;1;69;SARPI;9.175995000000057;45.48132900000007;(45.48132900000007, 9.175995000000057)
154;Magazzini Vittoria di Franco Marini;Abbigliamento;1938;Via Sarpi Paolo;3;1;69;SARPI;9.18053100000003;45.48171600000006;(45.48171600000006, 9.18053100000003)
155;Maior Stile;Abbigliamento;1925;Piazza Duomo;21;1;1;DUOMO;9.189585000000022;45.464841000000035;(45.464841000000035, 9.189585000000022)
156;Margherita;Biancheria intima, abbigliamento mare;1925;Corso Europa;18;1;1;DUOMO;9.197140500000046;45.46480500000007;(45.46480500000007, 9.197140500000046)
157;Matteo Acconciature Maschili;Parrucchiere per uomo;1960;Via S. Fermo;1;1;2;BRERA;9.189432000000068;45.47584800000004;(45.47584800000004, 9.189432000000068)
158;Matuella L'Ottico di Milano;Ottico;1928;P.le Cadorna;9;1;7;MAGENTA - S. VITTORE;9.176413500000024;45.46767600000004;(45.46767600000004, 9.176413500000024)
159;Mazza;Strumenti per la scrittura;1955;Via Cantu';3;1;1;DUOMO;9.186826500000052;45.46411200000006;(45.46411200000006, 9.186826500000052)
160;Mejana;Coltelleria;1911;Gall. Vittorio Emanuele II;88;1;1;DUOMO;9.190007877000028;45.465624467000055;(45.465624467000055, 9.190007877000028)
